ID_LOC	MEAS_DATE	MEAS_TIME	SITE	SITE_PLOT	PAI_DEVICE_LAB	PAI_DEVICE_TYPE	PAI_MEAS_TYPE	ID_MEAS	PAI	GAP1	GAP2	GAP3	GAP4	GAP5	BAD_READINGS
PSL_5_MEAS1	20210719	21:40:10	PSL	5	CEFE	LICOR_LAI2200	BELOW	1	2.76436	0.112914	0.107251	0.111082	0.120672	0.087236	NA
PSL_5_MEAS3	20210719	21:40:40	PSL	5	CEFE	LICOR_LAI2200	BELOW	3	1.68016	0.518013	0.468916	0.41854	0.219048	0.079798	NA
PSL_5_MEAS5	20210719	21:40:56	PSL	5	CEFE	LICOR_LAI2200	BELOW	5	2.16981	0.0783208	0.144402	0.233259	0.167092	0.196313	NA
PSL_5_MEAS15	20210719	21:41:28	PSL	5	CEFE	LICOR_LAI2200	BELOW	15	3.35673	0.0680327	0.0772473	0.0810526	0.0638254	0.048172	NA
PSL_5_MEAS25	20210719	21:42:05	PSL	5	CEFE	LICOR_LAI2200	BELOW	25	2.53931	0.108655	0.135996	0.237509	0.142754	0.052668	NA
PSL_5_MEAS23	20210719	21:43:12	PSL	5	CEFE	LICOR_LAI2200	BELOW	23	2.74253	0.206625	0.169335	0.166694	0.105	0.0369525	NA
PSL_5_MEAS21	20210719	21:43:39	PSL	5	CEFE	LICOR_LAI2200	BELOW	21	3.52492	0.148438	0.0851261	0.111815	0.045015	0.0190386	NA
PSL_5_MEAS11	20210719	21:44:37	PSL	5	CEFE	LICOR_LAI2200	BELOW	11	3.89515	0.0287987	0.0667485	0.0637146	0.0347552	0.0271323	NA
PSL_5_MEAS9	20210719	21:44:59	PSL	5	CEFE	LICOR_LAI2200	BELOW	9	3.12271	0.261364	0.137615	0.102564	0.0618639	0.035348	NA
PSL_5_MEAS7	20210719	21:45:44	PSL	5	CEFE	LICOR_LAI2200	BELOW	7	2.82693	0.135823	0.119848	0.151452	0.100811	0.0502574	NA
PSL_5_MEAS17	20210719	21:47:52	PSL	5	CEFE	LICOR_LAI2200	BELOW	17	3.04655	0.239573	0.133434	0.0984338	0.0689819	0.0458293	NA
