ID_LOC	SAMPLING_DATE	SAMPLING_TIME	SITE	SITE_PLOT	SPECIES	TREE	TREE_LEAF	TREE_LEAF_AGE	LEAFTRAIT_LAB	CHL_PROSPECT	CAR_PROSPECT	ANT_PROSPECT	EWT_PROSPECT	EWT_LAB	LMA_PROSPECT	LMA_LAB	PROT_PROSPECT	CBC_PROSPECT
PUE_CP2_QI_1411	20210512	NA	PUE	CP2	QI	1411	L2	Y	TETIS	67.8	13.2	0.460041073	0.0091	0.008134586	0.0148	0.0146	0.00081	0.01352
PUE_CP2_QI_1411	20210512	NA	PUE	CP2	QI	1411	L3	Y	TETIS	67.2	11.8	1.980129219	0.0094	0.00870047	0.0148	0.0149	0.00107	0.01253
PUE_CP2_QI_1411	20210512	NA	PUE	CP2	QI	1411	L4	Y	TETIS	66.1	12.4	2.636567599	0.0095	0.008912677	0.0141	0.0146	0.00276	0.01002
PUE_CP2_QI_0822	20210512	NA	PUE	CP2	QI	822	L1	Y	TETIS	77.6	16.2	7.184525875	0.016	0.012631345	0.0214	0.019	0.00236	0.02196
PUE_CP2_QI_0822	20210512	NA	PUE	CP2	QI	822	L2	Y	TETIS	87.5	14.6	2.240708403	0.0158	0.013881848	0.0243	0.0205	0	0.02018
PUE_CP2_QI_0822	20210512	NA	PUE	CP2	QI	822	L3	Y	TETIS	89.9	13.2	0.121010913	0.0137	0.011671362	0.0204	0.0184	0.00162	0.02042
PUE_CP2_QI_0822	20210512	NA	PUE	CP2	QI	822	L4	Y	TETIS	78.8	15.1	8.457640023	0.0144	0.012511347	0.0196	0.0188	0.0019	0.01629
PSL_22_QI_D1	20210512	10:20:15	PSL	22	QI	D1	L1	O	TETIS	65.2	14.4	3.814825888	0.0154	0.013793428	0.023	0.0212	0.00147	0.02188
PSL_22_QI_D1	20210512	10:22:36	PSL	22	QI	D1	L2	O	TETIS	63.9	12.3	3.971426508	0.0134	0.011759782	0.0207	0.0186	0.00136	0.01809
PSL_22_QI_D1	20210512	10:24:42	PSL	22	QI	D1	L3	O	TETIS	53.2	11.4	4.904171586	0.0128	0.011907148	0.019	0.0183	0	0.01825
PSL_22_QI_D1	20210512	10:27:37	PSL	22	QI	D1	L4	O	TETIS	60.2	15.4	4.276383904	0.0145	0.012328192	0.0233	0.0202	0.00278	0.0241
PSL_22_QI_D2	20210512	10:41:57	PSL	22	QI	D2	L1	O	TETIS	35.9	13.5	4.478384179	0.0182	0.015827075	0.0279	0.0244	0.00067	0.02704
PSL_22_QI_D2	20210512	10:43:14	PSL	22	QI	D2	L2	O	TETIS	53	14.3	3.63806166	0.018	0.016092333	0.0272	0.0241	0.00246	0.02433
PSL_22_QI_D2	20210512	10:44:51	PSL	22	QI	D2	L3	O	TETIS	38	13.3	4.024678954	0.0174	0.015090246	0.0255	0.0228	0	0.02421
PSL_22_QI_D2	20210512	10:46:47	PSL	22	QI	D2	L4	O	TETIS	41.7	14.3	3.579977364	0.0156	0.01550287	0.0263	0.0231	0.00521	0.0225
PSL_22_QI_D3	20210512	10:53:11	PSL	22	QI	D3	L1	O	TETIS	48.8	12.1	3.484256502	0.0144	0.011848201	0.0202	0.0182	0.00111	0.01744
PSL_22_QI_D3	20210512	10:53:14	PSL	22	QI	D3	L2	O	TETIS	47.7	11.4	2.885827374	0.013	0.011216634	0.0183	0.0177	0.00116	0.01402
PSL_22_QI_D3	20210512	10:57:05	PSL	22	QI	D3	L3	O	TETIS	36.4	10.1	3.590995755	0.0114	0.009620032	0.0166	0.0156	0.00111	0.01386
PSL_22_QI_D3	20210512	10:57:30	PSL	22	QI	D3	L4	O	TETIS	42.6	12.2	3.908660738	0.0129	0.0110819	0.0188	0.0172	0.00163	0.01691
PSL_22_QI_D4	20210512	11:05:43	PSL	22	QI	D4	L1	O	TETIS	59	15.1	4.704649345	0.0192	0.02072551	0.0237	0.0164	0.00538	0.01875
PSL_22_QI_D4	20210512	11:07:29	PSL	22	QI	D4	L2	O	TETIS	52	13.9	4.346876966	0.0177	0.017431256	0.0253	0.0216	0.00174	0.02406
PSL_22_QI_D4	20210512	11:08:31	PSL	22	QI	D4	L3	O	TETIS	57.2	14.7	5.149855724	0.0174	0.01662285	0.0215	0.0201	0.00169	0.02204
